sale_date,sku,product_name,category,brand,store_name,city,region,supplier_name,supplier_country,quantity,unit_price
2025-11-25,SKU-011,Almond Butter 500g,Pantry,Maranatha,FreshMart Westside,Vancouver,British Columbia,Lantic Inc,Canada,29,7.02
2023-02-13,SKU-004,Cold Brew Coffee 330ml,Beverages,Pilot Coffee,FreshMart Downtown,Toronto,Ontario,Gordon Food Service,Canada,38,7.12
2023-05-26,SKU-010,Dark Chocolate 85g,Snacks,Lindt,GreenGrocer Midtown,Toronto,Ontario,Maple Leaf Foods,Canada,46,2.68
2024-11-07,SKU-004,Cold Brew Coffee 330ml,Beverages,Pilot Coffee,FreshMart Downtown,Toronto,Ontario,Maple Leaf Foods,Canada,5,7.12
2024-03-14,SKU-005,Greek Yogurt 500g,Dairy,Olympic,FreshMart Uptown,Ottawa,Ontario,Lantic Inc,Canada,35,18.93
2025-08-26,SKU-015,Rotisserie Chicken,Deli,In-store,Prairie Pantry,Calgary,Alberta,Premium Brands,Canada,16,16.94
2023-07-13,SKU-013,Oat Milk 1L,Beverages,Oatly,Metro Fresh,Montreal,Quebec,Sysco Canada,Canada,7,2.6
2025-08-14,SKU-006,Atlantic Salmon Fillet 400g,Seafood,Ocean Choice,Metro Fresh,Montreal,Quebec,Lantic Inc,Canada,47,17.55
2023-05-05,SKU-011,Almond Butter 500g,Pantry,Maranatha,FreshMart Uptown,Ottawa,Ontario,Maple Leaf Foods,Canada,26,7.02
2024-01-28,SKU-013,Oat Milk 1L,Beverages,Oatly,FreshMart Downtown,Toronto,Ontario,Sysco Canada,Canada,13,2.6
2024-07-24,SKU-003,Free Range Eggs 12pk,Dairy,Burnbrae Farms,Metro Fresh,Montreal,Quebec,Sysco Canada,Canada,30,8.32
2023-07-20,SKU-015,Rotisserie Chicken,Deli,In-store,FreshMart Downtown,Toronto,Ontario,Lantic Inc,Canada,4,16.94
2024-04-29,SKU-009,Sparkling Water 6pk,Beverages,San Pellegrino,FreshMart Downtown,Toronto,Ontario,Maple Leaf Foods,Canada,11,11.69
2023-05-01,SKU-008,Aged Cheddar 400g,Dairy,Black Diamond,GreenGrocer Midtown,Toronto,Ontario,Lantic Inc,Canada,11,3.99
2024-08-07,SKU-007,Baby Spinach 142g,Produce,Earthbound Farm,FreshMart Westside,Vancouver,British Columbia,Lantic Inc,Canada,28,22.51
2023-11-14,SKU-012,Frozen Edamame 400g,Frozen,President's Choice,Prairie Pantry,Calgary,Alberta,Lantic Inc,Canada,13,13.61
2023-05-05,SKU-001,Organic Whole Milk 2L,Dairy,Natrel,Prairie Pantry,Calgary,Alberta,Premium Brands,Canada,48,16.7
2025-10-26,SKU-001,Organic Whole Milk 2L,Dairy,Natrel,Prairie Pantry,Calgary,Alberta,Lantic Inc,Canada,34,16.7
2023-05-21,SKU-009,Sparkling Water 6pk,Beverages,San Pellegrino,FreshMart Downtown,Toronto,Ontario,Sysco Canada,Canada,39,11.69
2023-09-03,SKU-014,Avocado each,Produce,Fresh Direct,GreenGrocer Midtown,Toronto,Ontario,Lantic Inc,Canada,37,6.56
2023-06-17,SKU-010,Dark Chocolate 85g,Snacks,Lindt,FreshMart Downtown,Toronto,Ontario,Premium Brands,Canada,27,2.68
2024-06-18,SKU-010,Dark Chocolate 85g,Snacks,Lindt,Prairie Pantry,Calgary,Alberta,Gordon Food Service,Canada,14,2.68
2025-03-21,SKU-006,Atlantic Salmon Fillet 400g,Seafood,Ocean Choice,GreenGrocer Midtown,Toronto,Ontario,Gordon Food Service,Canada,9,17.55
2023-05-29,SKU-005,Greek Yogurt 500g,Dairy,Olympic,Metro Fresh,Montreal,Quebec,Gordon Food Service,Canada,1,18.93
2024-03-12,SKU-010,Dark Chocolate 85g,Snacks,Lindt,FreshMart Downtown,Toronto,Ontario,Maple Leaf Foods,Canada,33,2.68
2024-05-15,SKU-015,Rotisserie Chicken,Deli,In-store,FreshMart Westside,Vancouver,British Columbia,Maple Leaf Foods,Canada,24,16.94
2025-12-19,SKU-008,Aged Cheddar 400g,Dairy,Black Diamond,Prairie Pantry,Calgary,Alberta,Gordon Food Service,Canada,1,3.99
2023-10-03,SKU-009,Sparkling Water 6pk,Beverages,San Pellegrino,FreshMart Westside,Vancouver,British Columbia,Maple Leaf Foods,Canada,17,11.69
2023-11-15,SKU-002,Sourdough Bread 750g,Bakery,ACE Bakery,FreshMart Uptown,Ottawa,Ontario,Premium Brands,Canada,18,2.57
2024-02-21,SKU-004,Cold Brew Coffee 330ml,Beverages,Pilot Coffee,FreshMart Uptown,Ottawa,Ontario,Gordon Food Service,Canada,44,7.12
2024-05-29,SKU-005,Greek Yogurt 500g,Dairy,Olympic,Prairie Pantry,Calgary,Alberta,Lantic Inc,Canada,4,18.93
2023-01-08,SKU-007,Baby Spinach 142g,Produce,Earthbound Farm,FreshMart Westside,Vancouver,British Columbia,Maple Leaf Foods,Canada,22,22.51
2025-06-23,SKU-011,Almond Butter 500g,Pantry,Maranatha,FreshMart Westside,Vancouver,British Columbia,Sysco Canada,Canada,36,7.02
2023-06-04,SKU-009,Sparkling Water 6pk,Beverages,San Pellegrino,FreshMart Downtown,Toronto,Ontario,Maple Leaf Foods,Canada,45,11.69
2023-10-31,SKU-009,Sparkling Water 6pk,Beverages,San Pellegrino,FreshMart Downtown,Toronto,Ontario,Gordon Food Service,Canada,28,11.69
2025-01-02,SKU-005,Greek Yogurt 500g,Dairy,Olympic,FreshMart Westside,Vancouver,British Columbia,Maple Leaf Foods,Canada,14,18.93
2025-04-12,SKU-011,Almond Butter 500g,Pantry,Maranatha,FreshMart Downtown,Toronto,Ontario,Gordon Food Service,Canada,40,7.02
2023-12-29,SKU-015,Rotisserie Chicken,Deli,In-store,GreenGrocer Midtown,Toronto,Ontario,Sysco Canada,Canada,27,16.94
2024-05-23,SKU-012,Frozen Edamame 400g,Frozen,President's Choice,FreshMart Westside,Vancouver,British Columbia,Lantic Inc,Canada,-2,13.61
2024-02-13,SKU-001,Organic Whole Milk 2L,Dairy,Natrel,Metro Fresh,Montreal,Quebec,Sysco Canada,Canada,30,16.7
2023-02-18,SKU-014,Avocado each,Produce,Fresh Direct,GreenGrocer Midtown,Toronto,Ontario,Sysco Canada,Canada,43,6.56
2024-07-25,SKU-006,Atlantic Salmon Fillet 400g,Seafood,Ocean Choice,FreshMart Westside,Vancouver,British Columbia,Maple Leaf Foods,Canada,23,17.55
2024-11-09,SKU-007,Baby Spinach 142g,Produce,Earthbound Farm,FreshMart Uptown,Ottawa,Ontario,Premium Brands,Canada,2,22.51
2024-06-27,SKU-005,Greek Yogurt 500g,Dairy,Olympic,GreenGrocer Midtown,Toronto,Ontario,Premium Brands,Canada,3,18.93
2025-06-12,SKU-007,Baby Spinach 142g,Produce,Earthbound Farm,FreshMart Westside,Vancouver,British Columbia,Gordon Food Service,Canada,39,22.51
2024-01-25,SKU-002,Sourdough Bread 750g,Bakery,ACE Bakery,Metro Fresh,Montreal,Quebec,Premium Brands,Canada,17,2.57
2024-02-08,SKU-007,Baby Spinach 142g,Produce,Earthbound Farm,FreshMart Downtown,Toronto,Ontario,Premium Brands,Canada,24,22.51
2024-10-04,SKU-011,Almond Butter 500g,Pantry,Maranatha,FreshMart Westside,Vancouver,British Columbia,Premium Brands,Canada,43,7.02
2024-09-25,SKU-012,Frozen Edamame 400g,Frozen,President's Choice,FreshMart Westside,Vancouver,British Columbia,Premium Brands,Canada,43,13.61
2023-09-18,SKU-007,Baby Spinach 142g,Produce,Earthbound Farm,FreshMart Uptown,Ottawa,Ontario,Gordon Food Service,Canada,13,22.51
2024-09-08,SKU-007,Baby Spinach 142g,Produce,Earthbound Farm,FreshMart Uptown,Ottawa,Ontario,Sysco Canada,Canada,26,22.51
2024-03-06,SKU-001,Organic Whole Milk 2L,Dairy,Natrel,FreshMart Westside,Vancouver,British Columbia,Gordon Food Service,Canada,28,16.7
2025-08-10,SKU-010,Dark Chocolate 85g,Snacks,Lindt,FreshMart Uptown,Ottawa,Ontario,Gordon Food Service,Canada,29,2.68
2023-12-14,SKU-004,Cold Brew Coffee 330ml,Beverages,Pilot Coffee,Prairie Pantry,Calgary,Alberta,Lantic Inc,Canada,43,7.12
2024-11-17,SKU-009,Sparkling Water 6pk,Beverages,San Pellegrino,FreshMart Uptown,Ottawa,Ontario,Premium Brands,Canada,6,11.69
2024-04-05,SKU-013,Oat Milk 1L,Beverages,Oatly,GreenGrocer Midtown,Toronto,Ontario,Gordon Food Service,Canada,13,2.6
2023-05-30,SKU-001,Organic Whole Milk 2L,Dairy,Natrel,GreenGrocer Midtown,Toronto,Ontario,Lantic Inc,Canada,30,16.7
2025-02-25,SKU-011,Almond Butter 500g,Pantry,Maranatha,Prairie Pantry,Calgary,Alberta,Sysco Canada,Canada,32,7.02
2023-08-07,SKU-003,Free Range Eggs 12pk,Dairy,Burnbrae Farms,FreshMart Uptown,Ottawa,Ontario,Maple Leaf Foods,Canada,50,8.32
2025-08-09,SKU-003,Free Range Eggs 12pk,Dairy,Burnbrae Farms,FreshMart Uptown,Ottawa,Ontario,Premium Brands,Canada,4,8.32
2023-10-01,SKU-015,Rotisserie Chicken,Deli,In-store,FreshMart Downtown,Toronto,Ontario,Lantic Inc,Canada,30,16.94
2025-06-25,SKU-009,Sparkling Water 6pk,Beverages,San Pellegrino,Prairie Pantry,Calgary,Alberta,Gordon Food Service,Canada,40,11.69
2025-07-02,SKU-015,Rotisserie Chicken,Deli,In-store,Prairie Pantry,Calgary,Alberta,Lantic Inc,Canada,11,16.94
2024-05-21,SKU-008,Aged Cheddar 400g,Dairy,Black Diamond,Metro Fresh,Montreal,Quebec,Gordon Food Service,Canada,41,3.99
2024-05-04,SKU-013,Oat Milk 1L,Beverages,Oatly,Prairie Pantry,Calgary,Alberta,Lantic Inc,Canada,18,2.6
2024-07-10,SKU-012,Frozen Edamame 400g,Frozen,President's Choice,FreshMart Westside,Vancouver,British Columbia,Sysco Canada,Canada,22,13.61
2023-11-05,SKU-009,Sparkling Water 6pk,Beverages,San Pellegrino,FreshMart Downtown,Toronto,Ontario,Sysco Canada,Canada,15,11.69
2023-05-12,SKU-003,Free Range Eggs 12pk,Dairy,Burnbrae Farms,FreshMart Uptown,Ottawa,Ontario,Sysco Canada,Canada,27,8.32
2023-05-08,SKU-009,Sparkling Water 6pk,Beverages,San Pellegrino,Metro Fresh,Montreal,Quebec,Lantic Inc,Canada,14,11.69
2025-02-18,SKU-007,Baby Spinach 142g,Produce,Earthbound Farm,Prairie Pantry,Calgary,Alberta,Maple Leaf Foods,Canada,31,22.51
2025-05-08,SKU-006,Atlantic Salmon Fillet 400g,Seafood,Ocean Choice,FreshMart Westside,Vancouver,British Columbia,Lantic Inc,Canada,-8,17.55
2025-03-07,SKU-007,Baby Spinach 142g,Produce,Earthbound Farm,Metro Fresh,Montreal,Quebec,Maple Leaf Foods,Canada,22,22.51
2025-08-15,SKU-013,Oat Milk 1L,Beverages,Oatly,Metro Fresh,Montreal,Quebec,Sysco Canada,Canada,9,2.6
2023-02-25,SKU-009,Sparkling Water 6pk,Beverages,San Pellegrino,FreshMart Downtown,Toronto,Ontario,Lantic Inc,Canada,6,11.69
2023-04-13,SKU-003,Free Range Eggs 12pk,Dairy,Burnbrae Farms,Metro Fresh,Montreal,Quebec,Sysco Canada,Canada,17,8.32
2024-11-22,SKU-004,Cold Brew Coffee 330ml,Beverages,Pilot Coffee,Metro Fresh,Montreal,Quebec,Gordon Food Service,Canada,49,7.12
2023-06-17,SKU-005,Greek Yogurt 500g,Dairy,Olympic,Metro Fresh,Montreal,Quebec,Gordon Food Service,Canada,31,18.93
not-a-date,SKU-009,Sparkling Water 6pk,Beverages,San Pellegrino,FreshMart Downtown,Toronto,Ontario,Gordon Food Service,Canada,42,11.69
2024-05-21,SKU-011,Almond Butter 500g,Pantry,Maranatha,FreshMart Downtown,Toronto,Ontario,Maple Leaf Foods,Canada,13,7.02
2023-09-16,SKU-010,Dark Chocolate 85g,Snacks,Lindt,GreenGrocer Midtown,Toronto,Ontario,Sysco Canada,Canada,31,2.68
2024-06-08,SKU-010,Dark Chocolate 85g,Snacks,Lindt,GreenGrocer Midtown,Toronto,Ontario,Lantic Inc,Canada,50,2.68
2023-12-02,SKU-010,Dark Chocolate 85g,Snacks,Lindt,Prairie Pantry,Calgary,Alberta,Maple Leaf Foods,Canada,20,2.68
2025-02-07,SKU-001,Organic Whole Milk 2L,Dairy,Natrel,FreshMart Westside,Vancouver,British Columbia,Premium Brands,Canada,26,16.7
2024-05-12,SKU-004,Cold Brew Coffee 330ml,Beverages,Pilot Coffee,FreshMart Downtown,Toronto,Ontario,Premium Brands,Canada,7,7.12
2023-09-05,SKU-005,Greek Yogurt 500g,Dairy,Olympic,FreshMart Uptown,Ottawa,Ontario,Premium Brands,Canada,37,18.93
2025-01-28,SKU-006,Atlantic Salmon Fillet 400g,Seafood,Ocean Choice,Prairie Pantry,Calgary,Alberta,Lantic Inc,Canada,5,17.55
2025-09-30,SKU-006,Atlantic Salmon Fillet 400g,Seafood,Ocean Choice,FreshMart Downtown,Toronto,Ontario,Lantic Inc,Canada,7,17.55
2023-11-10,SKU-006,Atlantic Salmon Fillet 400g,Seafood,Ocean Choice,FreshMart Uptown,Ottawa,Ontario,Lantic Inc,Canada,28,17.55
2025-09-17,SKU-009,Sparkling Water 6pk,Beverages,San Pellegrino,FreshMart Uptown,Ottawa,Ontario,Gordon Food Service,Canada,30,11.69
2024-10-22,SKU-012,Frozen Edamame 400g,Frozen,President's Choice,Prairie Pantry,Calgary,Alberta,Gordon Food Service,Canada,16,13.61
2024-05-14,SKU-002,Sourdough Bread 750g,Bakery,ACE Bakery,FreshMart Westside,Vancouver,British Columbia,Lantic Inc,Canada,49,2.57
2024-11-19,SKU-010,Dark Chocolate 85g,Snacks,Lindt,FreshMart Uptown,Ottawa,Ontario,Lantic Inc,Canada,2,2.68
2024-03-10,SKU-006,Atlantic Salmon Fillet 400g,Seafood,Ocean Choice,GreenGrocer Midtown,Toronto,Ontario,Lantic Inc,Canada,23,17.55
2024-07-19,SKU-006,Atlantic Salmon Fillet 400g,Seafood,Ocean Choice,FreshMart Westside,Vancouver,British Columbia,Premium Brands,Canada,36,17.55
2025-04-12,SKU-004,Cold Brew Coffee 330ml,Beverages,Pilot Coffee,FreshMart Downtown,Toronto,Ontario,Sysco Canada,Canada,-8,7.12
2023-07-10,SKU-008,Aged Cheddar 400g,Dairy,Black Diamond,Metro Fresh,Montreal,Quebec,Maple Leaf Foods,Canada,19,3.99
2025-01-25,SKU-012,Frozen Edamame 400g,Frozen,President's Choice,GreenGrocer Midtown,Toronto,Ontario,Gordon Food Service,Canada,31,13.61
2024-11-08,SKU-006,Atlantic Salmon Fillet 400g,Seafood,Ocean Choice,Metro Fresh,Montreal,Quebec,Premium Brands,Canada,23,17.55
2024-04-17,SKU-005,Greek Yogurt 500g,Dairy,Olympic,FreshMart Westside,Vancouver,British Columbia,Gordon Food Service,Canada,8,18.93
2024-01-15,SKU-006,Atlantic Salmon Fillet 400g,Seafood,Ocean Choice,FreshMart Downtown,Toronto,Ontario,Premium Brands,Canada,13,17.55
2025-12-10,SKU-008,Aged Cheddar 400g,Dairy,Black Diamond,FreshMart Westside,Vancouver,British Columbia,Premium Brands,Canada,39,3.99
2024-04-10,SKU-002,Sourdough Bread 750g,Bakery,ACE Bakery,GreenGrocer Midtown,Toronto,Ontario,Gordon Food Service,Canada,24,2.57
2023-09-17,SKU-001,Organic Whole Milk 2L,Dairy,Natrel,FreshMart Uptown,Ottawa,Ontario,Premium Brands,Canada,18,16.7
2023-09-16,SKU-001,Organic Whole Milk 2L,Dairy,Natrel,Prairie Pantry,Calgary,Alberta,Gordon Food Service,Canada,41,16.7
2024-08-05,SKU-008,Aged Cheddar 400g,Dairy,Black Diamond,FreshMart Downtown,Toronto,Ontario,Maple Leaf Foods,Canada,31,3.99
2024-06-01,SKU-006,Atlantic Salmon Fillet 400g,Seafood,Ocean Choice,GreenGrocer Midtown,Toronto,Ontario,Maple Leaf Foods,Canada,31,17.55
2023-06-01,SKU-002,Sourdough Bread 750g,Bakery,ACE Bakery,Metro Fresh,Montreal,Quebec,Lantic Inc,Canada,37,2.57
2024-09-14,SKU-001,Organic Whole Milk 2L,Dairy,Natrel,GreenGrocer Midtown,Toronto,Ontario,Sysco Canada,Canada,6,16.7
2024-04-07,SKU-002,Sourdough Bread 750g,Bakery,ACE Bakery,Prairie Pantry,Calgary,Alberta,Lantic Inc,Canada,50,2.57
2025-05-28,SKU-008,Aged Cheddar 400g,Dairy,Black Diamond,Metro Fresh,Montreal,Quebec,Gordon Food Service,Canada,20,3.99
2024-03-01,SKU-001,Organic Whole Milk 2L,Dairy,Natrel,Prairie Pantry,Calgary,Alberta,Maple Leaf Foods,Canada,41,16.7
2024-05-06,SKU-011,Almond Butter 500g,Pantry,Maranatha,FreshMart Downtown,Toronto,Ontario,Sysco Canada,Canada,12,7.02
2025-07-11,SKU-003,Free Range Eggs 12pk,Dairy,Burnbrae Farms,FreshMart Downtown,Toronto,Ontario,Lantic Inc,Canada,45,8.32
2024-08-13,SKU-005,Greek Yogurt 500g,Dairy,Olympic,FreshMart Downtown,Toronto,Ontario,Sysco Canada,Canada,46,18.93
2024-04-23,SKU-014,Avocado each,Produce,Fresh Direct,Metro Fresh,Montreal,Quebec,Maple Leaf Foods,Canada,17,6.56
2025-05-20,SKU-011,Almond Butter 500g,Pantry,Maranatha,Prairie Pantry,Calgary,Alberta,Sysco Canada,Canada,8,7.02
2023-10-19,SKU-011,Almond Butter 500g,Pantry,Maranatha,GreenGrocer Midtown,Toronto,Ontario,Gordon Food Service,Canada,5,7.02
2024-08-14,SKU-013,Oat Milk 1L,Beverages,Oatly,FreshMart Westside,Vancouver,British Columbia,Premium Brands,Canada,29,2.6
2024-07-11,SKU-012,Frozen Edamame 400g,Frozen,President's Choice,FreshMart Westside,Vancouver,British Columbia,Lantic Inc,Canada,33,13.61
2023-03-23,SKU-008,Aged Cheddar 400g,Dairy,Black Diamond,FreshMart Downtown,Toronto,Ontario,Premium Brands,Canada,28,3.99
2023-07-07,SKU-010,Dark Chocolate 85g,Snacks,Lindt,FreshMart Westside,Vancouver,British Columbia,Maple Leaf Foods,Canada,15,2.68
2023-02-12,SKU-014,Avocado each,Produce,Fresh Direct,Prairie Pantry,Calgary,Alberta,Premium Brands,Canada,49,6.56
2023-12-25,SKU-005,Greek Yogurt 500g,Dairy,Olympic,Prairie Pantry,Calgary,Alberta,Maple Leaf Foods,Canada,31,18.93
2025-06-11,SKU-008,Aged Cheddar 400g,Dairy,Black Diamond,FreshMart Westside,Vancouver,British Columbia,Sysco Canada,Canada,41,3.99
2025-04-16,SKU-002,Sourdough Bread 750g,Bakery,ACE Bakery,Metro Fresh,Montreal,Quebec,Gordon Food Service,Canada,22,2.57
2025-04-23,SKU-002,Sourdough Bread 750g,Bakery,ACE Bakery,GreenGrocer Midtown,Toronto,Ontario,Gordon Food Service,Canada,45,2.57
2023-03-17,SKU-011,Almond Butter 500g,Pantry,Maranatha,Metro Fresh,Montreal,Quebec,Premium Brands,Canada,30,7.02
2025-04-07,SKU-005,Greek Yogurt 500g,Dairy,Olympic,FreshMart Westside,Vancouver,British Columbia,Maple Leaf Foods,Canada,33,18.93
2025-08-04,SKU-001,Organic Whole Milk 2L,Dairy,Natrel,FreshMart Uptown,Ottawa,Ontario,Premium Brands,Canada,27,16.7
2025-10-17,SKU-009,Sparkling Water 6pk,Beverages,San Pellegrino,FreshMart Westside,Vancouver,British Columbia,Premium Brands,Canada,41,11.69
2023-09-26,SKU-001,Organic Whole Milk 2L,Dairy,Natrel,GreenGrocer Midtown,Toronto,Ontario,Gordon Food Service,Canada,19,16.7
2023-03-01,SKU-012,Frozen Edamame 400g,Frozen,President's Choice,Metro Fresh,Montreal,Quebec,Maple Leaf Foods,Canada,41,13.61
2024-09-28,SKU-004,Cold Brew Coffee 330ml,Beverages,Pilot Coffee,FreshMart Uptown,Ottawa,Ontario,Sysco Canada,Canada,36,7.12
not-a-date,SKU-007,Baby Spinach 142g,Produce,Earthbound Farm,FreshMart Downtown,Toronto,Ontario,Sysco Canada,Canada,30,22.51
2025-11-08,SKU-003,Free Range Eggs 12pk,Dairy,Burnbrae Farms,Metro Fresh,Montreal,Quebec,Gordon Food Service,Canada,46,8.32
2024-05-14,SKU-014,Avocado each,Produce,Fresh Direct,Metro Fresh,Montreal,Quebec,Lantic Inc,Canada,30,6.56
2025-11-06,SKU-007,Baby Spinach 142g,Produce,Earthbound Farm,GreenGrocer Midtown,Toronto,Ontario,Premium Brands,Canada,48,22.51
2025-04-29,SKU-014,Avocado each,Produce,Fresh Direct,FreshMart Downtown,Toronto,Ontario,Gordon Food Service,Canada,22,6.56
2024-08-02,SKU-009,Sparkling Water 6pk,Beverages,San Pellegrino,FreshMart Westside,Vancouver,British Columbia,Maple Leaf Foods,Canada,47,11.69
2023-11-01,SKU-010,Dark Chocolate 85g,Snacks,Lindt,Prairie Pantry,Calgary,Alberta,Lantic Inc,Canada,29,2.68
2025-02-11,SKU-006,Atlantic Salmon Fillet 400g,Seafood,Ocean Choice,FreshMart Westside,Vancouver,British Columbia,Premium Brands,Canada,30,17.55
2025-02-23,SKU-014,Avocado each,Produce,Fresh Direct,GreenGrocer Midtown,Toronto,Ontario,Sysco Canada,Canada,15,6.56
2025-08-26,SKU-007,Baby Spinach 142g,Produce,Earthbound Farm,FreshMart Downtown,Toronto,Ontario,Gordon Food Service,Canada,46,22.51
2025-10-11,SKU-007,Baby Spinach 142g,Produce,Earthbound Farm,Metro Fresh,Montreal,Quebec,Sysco Canada,Canada,3,22.51
2025-06-20,SKU-010,Dark Chocolate 85g,Snacks,Lindt,FreshMart Westside,Vancouver,British Columbia,Maple Leaf Foods,Canada,7,2.68
2025-04-19,SKU-008,Aged Cheddar 400g,Dairy,Black Diamond,FreshMart Downtown,Toronto,Ontario,Sysco Canada,Canada,42,3.99
2024-11-24,SKU-002,Sourdough Bread 750g,Bakery,ACE Bakery,Metro Fresh,Montreal,Quebec,Gordon Food Service,Canada,40,2.57
2025-12-28,SKU-011,Almond Butter 500g,Pantry,Maranatha,FreshMart Downtown,Toronto,Ontario,Gordon Food Service,Canada,25,7.02
2023-03-15,SKU-011,Almond Butter 500g,Pantry,Maranatha,FreshMart Uptown,Ottawa,Ontario,Lantic Inc,Canada,40,7.02
2024-04-10,SKU-011,Almond Butter 500g,Pantry,Maranatha,FreshMart Uptown,Ottawa,Ontario,Gordon Food Service,Canada,48,7.02
2025-06-27,SKU-002,Sourdough Bread 750g,Bakery,ACE Bakery,FreshMart Uptown,Ottawa,Ontario,Maple Leaf Foods,Canada,11,2.57
2024-10-26,SKU-015,Rotisserie Chicken,Deli,In-store,FreshMart Downtown,Toronto,Ontario,Maple Leaf Foods,Canada,4,16.94
2024-05-15,SKU-006,Atlantic Salmon Fillet 400g,Seafood,Ocean Choice,Metro Fresh,Montreal,Quebec,Sysco Canada,Canada,34,17.55
2023-12-25,SKU-011,Almond Butter 500g,Pantry,Maranatha,GreenGrocer Midtown,Toronto,Ontario,Sysco Canada,Canada,6,7.02
2025-10-16,SKU-007,Baby Spinach 142g,Produce,Earthbound Farm,Prairie Pantry,Calgary,Alberta,Sysco Canada,Canada,38,22.51
